Year,Region,Volume,Value
2018,Peninsular,1059372,6256.31
2019,Peninsular,981383,5774.98
2020,Peninsular,1011874,5832.4
2021,Peninsular,940752,6402.25
2022p,Peninsular,909757,6707.2
2018,Sabah1,34809,187.89
2019,Sabah1,37307,207.68
2020,Sabah1,36062,192.04
2021,Sabah1,50694,335.08
2022p,Sabah1,46503,315.39
2018,Sarawak1,14561,79.26
2019,Sarawak1,15022,81.66
2020,Sarawak1,23878,128.97
2021,Sarawak1,32189,205.38
2022p,Sarawak1,29458,203.06
2018,Total,1108741,6523.47
2019,Total,1033712,6064.32
2020,Total,1071815,6153.4
2021,Total,1023635,6942.7
2022p,Total,985719,7225.66
