Date,Year,Month,State,Production,Status Data
1/1/2014,2014,Jan,Johor,890,f
1/2/2014,2014,Feb,Johor,744,f
1/3/2014,2014,Mar,Johor,378,f
1/4/2014,2014,Apr,Johor,376,f
1/5/2014,2014,May,Johor,503,f
1/6/2014,2014,Jun,Johor,670,f
1/7/2014,2014,Jul,Johor,672,f
1/8/2014,2014,Aug,Johor,669,f
1/9/2014,2014,Sep,Johor,796,f
1/10/2014,2014,Oct,Johor,686,f
1/11/2014,2014,Nov,Johor,559,f
1/12/2014,2014,Dec,Johor,600,f
1/1/2014,2014,Jan,Kedah & Perlis,1282,f
1/2/2014,2014,Feb,Kedah & Perlis,895,f
1/3/2014,2014,Mar,Kedah & Perlis,589,f
1/4/2014,2014,Apr,Kedah & Perlis,550,f
1/5/2014,2014,May,Kedah & Perlis,849,f
1/6/2014,2014,Jun,Kedah & Perlis,1156,f
1/7/2014,2014,Jul,Kedah & Perlis,1238,f
1/8/2014,2014,Aug,Kedah & Perlis,1150,f
1/9/2014,2014,Sep,Kedah & Perlis,1268,f
1/10/2014,2014,Oct,Kedah & Perlis,1059,f
1/11/2014,2014,Nov,Kedah & Perlis,1397,f
1/12/2014,2014,Dec,Kedah & Perlis,1162,f
1/1/2014,2014,Jan,Kelantan & Terengganu,489,f
1/2/2014,2014,Feb,Kelantan & Terengganu,727,f
1/3/2014,2014,Mar,Kelantan & Terengganu,377,f
1/4/2014,2014,Apr,Kelantan & Terengganu,284,f
1/5/2014,2014,May,Kelantan & Terengganu,376,f
1/6/2014,2014,Jun,Kelantan & Terengganu,497,f
1/7/2014,2014,Jul,Kelantan & Terengganu,477,f
1/8/2014,2014,Aug,Kelantan & Terengganu,521,f
1/9/2014,2014,Sep,Kelantan & Terengganu,582,f
1/10/2014,2014,Oct,Kelantan & Terengganu,446,f
1/11/2014,2014,Nov,Kelantan & Terengganu,381,f
1/12/2014,2014,Dec,Kelantan & Terengganu,288,f
1/1/2014,2014,Jan,Melaka & Negeri Sembilan,1372,f
1/2/2014,2014,Feb,Melaka & Negeri Sembilan,1280,f
1/3/2014,2014,Mar,Melaka & Negeri Sembilan,564,f
1/4/2014,2014,Apr,Melaka & Negeri Sembilan,483,f
1/5/2014,2014,May,Melaka & Negeri Sembilan,824,f
1/6/2014,2014,Jun,Melaka & Negeri Sembilan,1248,f
1/7/2014,2014,Jul,Melaka & Negeri Sembilan,1170,f
1/8/2014,2014,Aug,Melaka & Negeri Sembilan,1242,f
1/9/2014,2014,Sep,Melaka & Negeri Sembilan,1297,f
