Year,Country,Volume,Value
2018,Thailand,480.05,2865.18
2019,Thailand,486.1,2799.93
2020,Thailand,478.15,3137.9
2021,Thailand,512.82,3946.41
2022p,Thailand,514.53,3733.23
2018,Cote D'Ivoire,256.71,1124.84
2019,Cote D'Ivoire,332.95,1450.08
2020,Cote D'Ivoire,462.72,1822.26
2021,Cote D'Ivoire,348.39,1636.07
2022p,Cote D'Ivoire,321.83,1733.62
2018,Philippines,98.19,341.99
2019,Philippines,111.07,390.94
2020,Philippines,130.14,435.9
2021,Philippines,156.81,642.17
2022p,Philippines,145.09,622.9
2018,Myanmar,27.52,151.42
2019,Myanmar,37.66,203.98
2020,Myanmar,28.18,153.45
2021,Myanmar,81.5,507.81
2022p,Myanmar,79.78,510.49
2018,Liberia,11.34,57.6
2019,Liberia,14.21,75.1
2020,Liberia,12.32,60.19
2021,Liberia,26.37,157.38
2022p,Liberia,33.85,227.89
2018,Ghana,15.39,82.33
2019,Ghana,13.61,73
2020,Ghana,33.11,153.11
2021,Ghana,21.22,107.84
2022p,Ghana,26.96,153.35
2018,Viet Nam,75.57,411.96
2019,Viet Nam,42.39,243.48
2020,Viet Nam,14.6,81.1
2021,Viet Nam,9.02,66.9
2022p,Viet Nam,10.26,72.68
2018,South Africa,0.21,1.15
2019,South Africa,1.09,4.94
2020,South Africa,19.65,53.04
2021,South Africa,9.35,44.28
2022p,South Africa,5.68,24.59
2018,"Congo, The Democratic Republic of The",0.13,0.22
2019,"Congo, The Democratic Republic of The",0.86,4.41
2020,"Congo, The Democratic Republic of The",1.58,6.65
2021,"Congo, The Democratic Republic of The",0.87,5.31
2022p,"Congo, The Democratic Republic of The",4.92,29.93
2018,India,6.31,32.49
2019,India,6.74,34.26
2020,India,3.15,15.81
2021,India,7.37,40.46
2022p,India,4.26,27.15
2018,Others,43.36,226.35
2019,Others,36.02,185.21
2020,Others,49.95,244.56
2021,Others,33.58,184.65
2022p,Others,18.38,107.98
2018,Total,1014.78,5295.53
2019,Total,1082.7,5465.33
2020,Total,1233.55,6163.97
2021,Total,1207.3,7339.29
2022p,Total,1165.54,7243.8
